FoodID	Chapter	Food Name	Alcohol	Alpha-carotene	Alpha-tocopherol	Ash	Available carbohydrate by difference	"Available carbohydrate, FSANZ"	Available carbohydrates by weight	Available carbohydrates in monosaccharide equivalent	Beta-carotene	Beta-carotene equivalents	Beta-tocopherol	Caffeine	Calcium	"Carbohydrate by difference, FSANZ"	Cholesterol	Copper	Delta-tocopherol	Dietary folate equivalents	Dry matter	Edible portion	"Energy, total metabolisable (kcal)"	"Energy, total metabolisable (kcal, including dietary fibre)"	"Energy, total metabolisable (kJ)"	"Energy, total metabolisable (kJ, including dietary fibre)"	"Energy, total metabolisable, available carbohydrate, FSANZ (kcal)"	"Energy, total metabolisable, available carbohydrate, FSANZ (kJ)"	"Energy, total metabolisable, carbohydrate by difference, FSANZ (kcal)"	"Energy, total metabolisable, carbohydrate by difference, FSANZ (kJ)"	"Fat, total"	Fatty acid 18:3 omega-3	Fatty acid 20:5 omega-3	Fatty acid 22:5 omega-3	Fatty acid 22:6 omega-3	"Fatty acid cis, trans 18:2 omega-9, 11"	"Fatty acid cis,cis 18:2 omega-6"	"Fatty acids, total long chain polyunsaturated omega-3"	"Fatty acids, total monounsaturated"	"Fatty acids, total polyunsaturated"	"Fatty acids, total polyunsaturated omega-3"	"Fatty acids, total polyunsaturated omega-6"	"Fatty acids, total saturated"	"Fatty acids, total trans"	"Fibre, total dietary"	"Fibre, water-insoluble"	"Fibre, water-soluble"	"Folate food, naturally occurring food folates"	"Folate, total"	"Folic acid, synthetic folic acid"	Fructose	Gamma-tocopherol	Glucose	Iodide	Iron	Lactose	Magnesium	Maltose	Manganese	Niacin equivalents from tryptophan	"Niacin equivalents, total"	"Niacin, preformed"	"Nitrogen, total"	Phosphorus	Potassium	"Protein, total; calculated from total nitrogen"	Retinol	Riboflavin	Selenium	Sodium	"Starch, total"	Sucrose	"Sugars, total"	Thiamin	Total carbohydrate by difference	Total carbohydrates by summation	Tryptophan	"Vitamin A, retinol equivalents"	Vitamin B12	Vitamin B6	Vitamin C	Vitamin D; calculated by summation	"Vitamin E, alpha-tocopherol equivalents"	Water	Zinc	
FoodID	Chapter	Food Name	g/100g	?g/100g	mg/100g	g/100g	g/100g	g/100g	g/100g	g/100g	?g/100g	?g/100g	mg/100g	mg/100g	mg/100g	g/100g	mg/100g	mg/100g	mg/100g	?g/100g	g/100g	%	kcal/100g	kcal/100g	kJ/100g	kJ/100g	kcal/100g	kJ/100g	kcal/100g	kJ/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	?g/100g	?g/100g	?g/100g	g/100g	mg/100g	g/100g	?g/100g	mg/100g	g/100g	mg/100g	g/100g	?g/100g	mg/100g	mg/100g	mg/100g	g/100g	mg/100g	mg/100g	g/100g	?g/100g	mg/100g	?g/100g	mg/100g	g/100g	g/100g	g/100g	mg/100g	g/100g	g/100g	mg/100g	?g/100g	?g/100g	mg/100g	mg/100g	?g/100g	mg/100g	g/100g	mg/100g	
A1035	A	"Cracker, rice, seaweed flavoured, Rice Cracker Seaweed, Sakata"	0	10	0.08	2.9	80.72	72.6	72.6	79.64	79	84		0	12	80.72	0	0.18	0.01	55.8	94.2	100	337.65	339.05	1433.08	1438.68	344.18	1438.68	377.22	1576.8	1.55	0.032	0.008				0.401	0.008	0.572	0.441	0.04	0.402	0.283	0.026	0.7	0.6	0.1	55.8	55.8	0	0.09	0.01	0.26	18	0.57	0	40	0	1300	1.4	3.24	1.84	1.4	130	260	8.33	0	0.08	3.8	900	68.6	3.65	4	0.07	81.42	73.3		14.03	0	0.76	0	0	0.08	5.8	1.3	
A1036	A	"Cracker, rice & seaweed flavoured Rice Cracker Seaweed, Fantastic"	0	10	0.08	2.65	81.16	73.63	73.63	80.78	79	84		0	12	81.16	0	0.21	0.01	55.8	94	100	340.02	342.02	1442.9	1450.9	347.1	1450.9	377.74	1578.95	1.75	0.036	0.009				0.452	0.009	0.646	0.498	0.045	0.454	0.32	0.03	1	0.9	0.1	55.8	55.8	0	0.51	0.02	0.23	8.7	0.55	0	41	0	1500	1.4	3.24	1.84	1.25	130	170	7.44	0	0.08	1	820	70.1	2.8	3.53	0.07	82.16	74.63		14.03	0	0.76	0	0	0.08	6	1.2	
A1037	A	"Cracker, rice & seaweed flavoured, Rice Cracker Seaweed, Pams"	0	10	0.12	1.7	82.51	71.88	71.88	78.94	79	84		0	20	82.51	0	0.18	0.01	55.8	95.9	100	349.38	351.08	1480.24	1487.04	355.75	1487.04	398.98	1667.75	3.7	0.075	0.019				0.956	0.019	1.365	1.054	0.094	0.959	0.676	0.063	0.85	0.75	0.1	55.8	55.8	0	0.04	0.02	0	11	0.9	0	21	0	750	1.4	3.24	1.84	1.2	78	68	7.14	0	0.08	1	600	69.35	2.49	2.53	0.07	83.36	72.73		14.03	0	0.76	0	0	0.12	4.1	1.2	
A1040	A	"Bread, Ciabatta"	0	0	0.47	1.5	51.84	52	52	57.04	0	0		0	121	51.84	0	0.09	0	21	70.8	100	284.14	290.74	1202.72	1229.12	294.05	1229.12	293.4	1226.4	3.9								2.11	0.86			0.57		3.3			21	21	0	0.1	0	0	10	1.4	0	22	2.7	600	2.2	4.2	2	1.8	100	152	10.26	0	0.06	10	538	48.9	0.3	3.1	0.24	55.14	55.3		0	0	0.07	0	0	0.47	29.2	0.7	
A1045	A	"Bread, mixed grain & seed, sliced, prepacked, Mixed Grain & Toasted Sesame Toast, Vogel's"	0	0	0.31	1.69	31.33	30.05	30.05	33.04	0	0		0	23	31.33	0	0.18	0	18	55.1	100	208.89	222.89	880.7	936.7	224.09	936.7	229.3	958.46	5.67	0.329		0	0		1.449	0	2.919	1.783	0.329	1.454	0.571	0	7	6.2	0.8	18	18	0	0	0.11	0	36	1.11	0	44	0.35	1050	2.28	3.52	1.24	1.62	128	159	9.42	0	0.11	7	370	29.7	0	0.35	0.15	38.33	37.05	134	0	0	0.16	0	0	0.33	44.9	1.06	
A1048	A	"Bread, mixed grain & seed, sliced, prepacked, Station Seed & Grain, MacKenzie"	0	0	0.28	2.3	33.77	31	31	33.98	0	0		0	138	33.77	0	0.25	0	33	59.85	100	214.05	228.65	903.66	962.06	230.16	962.06	241.42	1009.15	4.83	0.257		0	0		1.613	0	1.847	1.875	0.257	1.618	0.761	0	7.3	5.9	1.4	33	33	0	0.03	0.06	0.14	45	1.99	0	71	1.93	1590	3.06	4.58	1.52	2	184	191	11.66	0	0.1	6	420	28.9	0	2.1	0.19	41.07	38.3	180.25	0	0	0.22	0	0	0.29	40.15	1.52	
A1049	A	"Bread, mixed grain, sliced, prepacked, Tuscan Mixed Grain, Freya's"	0	0	0	1.9	41.21	39.09	39.09	42.86	0	0		0	108	41.21	0	0.16	0	31	60.5	100	219.02	229.22	927.47	968.27	231.64	968.27	240.26	1004.3	2.7	0.144		0	0		0.893	0	1.047	1.039	0.144	0.895	0.48	0	5.1	3.4	1.7	31	31	0	0.04	0.01	0	37	1.02	0	38	2.6	950	2.55	3.52	0.97	1.65	121	153	9.59	0	0.11	6	410	36.4	0.05	2.69	0.14	46.31	44.19	149.87	0	0	0.2	0	0	0	39.5	0.98	
A1050	A	"Bread, mixed grain, sliced, prepacked, Salba Traditional Wholegrain, Yarrows"	0	0	0	1.81	32.29	32.31	32.31	35.4	0	0		0	106	32.29	0	0.23	0	38.5	59.75	100	200.56	224.16	848.4	942.8	225.55	942.8	225.47	942.48	3.19	0.175		0	0		0.89	0	1.086	1.068	0.175	0.893	0.787	0	11.8	10.5	1.3	38.5	38.5	0	0.03	0.01	0	25	1.98	0	54	2.58	1360	2.79	3.92	1.13	1.83	151	183	10.67	0	0.12	5	340	29.7	0	2.61	0.89	44.09	44.11	163.96	0	0	0.21	0	0	0	40.25	1.28	
A1051	A	"Bread, mixed grain, sliced, prepacked, Nature's Grain, River Mill, fortified folate"	0	0	0.07	1.91	44.5	41.46	41.46	45.37	0	0		0	95	44.5	0	0.17	0	816	62.55	100	223.47	231.87	947.29	980.89	234.66	980.89	247.05	1032.67	1.98	0.09		0	0		0.837	0	0.48	0.929	0.09	0.839	0.403	0	4.2	2.7	1.5	315	615	300	0.23	0.01	0.6	51	1.21	0	33	2.93	1010	2.74	3.65	0.91	1.71	110	148	9.97	0	0.1	9	440	37.7	0	3.76	0.14	48.7	45.66	161.07	0	0	0.23	0	0	0.08	37.45	0.93	
A1052	A	"Bread, wheat & rye, sliced, prepacked, Salba Traditional European Rye, Yarrows"	0	0	0.08	1.93	34.54	32	32	35.06	0	0		0	101	34.54	0	0.24	0	54.5	61.4	100	209.29	228.49	884.5	961.3	229.98	961.3	240.31	1004.49	4	0.186		0	0.008		0.972	0.008	1.347	1.165	0.194	0.972	1.192	0	9.6	8.2	1.4	54.5	54.5	0	0.05	0.01	0	28	1.53	0	52	2.65	1340	2.58	3.73	1.15	1.95	149	175	11.34	0	0.12	7	350	29.3	0	2.7	0.95	44.14	41.6	152	0	0	0.9	0	0	0.08	38.6	1.28	
A1053	A	"Bread, mixed grain, sliced, prepacked, Swiss Bake Grains Plus, Molenberg, Quality Bakers"	0	0	0.27	2.05	37.11	35.18	35.18	38.56	0	0		0	117	37.11	0	0.24	0	46.5	59.8	100	214.77	226.97	908.8	957.6	229.09	957.6	236.93	990.35	3.18	0.139		0	0		1.213	0	1.032	1.354	0.139	1.216	0.555	0	6.1	4.8	1.3	46.5	46.5	0	0.04	0.02	0.04	42	2	0	61	2.6	1750	2.99	4.73	1.74	1.95	179	200	11.37	0	0.12	6	410	32.5	0	2.68	0.15	43.21	41.28	175.6	0	0	0.29	0	0	0.28	40.2	1.47	
