FoodID	Chapter	Food Name	Alcohol	Alpha-carotene	Alpha-tocopherol	Ash	Available carbohydrate by difference	"Available carbohydrate, FSANZ"	Available carbohydrates by weight	Available carbohydrates in monosaccharide equivalent	Beta-carotene	Beta-carotene equivalents	Beta-tocopherol	Caffeine	Calcium	"Carbohydrate by difference, FSANZ"	Cholesterol	Copper	Delta-tocopherol	Dietary folate equivalents	Dry matter	Edible portion	"Energy, total metabolisable (kcal)"	"Energy, total metabolisable (kcal, including dietary fibre)"	"Energy, total metabolisable (kJ)"	"Energy, total metabolisable (kJ, including dietary fibre)"	"Energy, total metabolisable, available carbohydrate, FSANZ (kcal)"	"Energy, total metabolisable, available carbohydrate, FSANZ (kJ)"	"Energy, total metabolisable, carbohydrate by difference, FSANZ (kcal)"	"Energy, total metabolisable, carbohydrate by difference, FSANZ (kJ)"	"Fat, total"	Fatty acid 18:3 omega-3	Fatty acid 20:5 omega-3	Fatty acid 22:5 omega-3	Fatty acid 22:6 omega-3	"Fatty acid cis, trans 18:2 omega-9, 11"	"Fatty acid cis,cis 18:2 omega-6"	"Fatty acids, total long chain polyunsaturated omega-3"	"Fatty acids, total monounsaturated"	"Fatty acids, total polyunsaturated"	"Fatty acids, total polyunsaturated omega-3"	"Fatty acids, total polyunsaturated omega-6"	"Fatty acids, total saturated"	"Fatty acids, total trans"	"Fibre, total dietary"	"Fibre, water-insoluble"	"Fibre, water-soluble"	"Folate food, naturally occurring food folates"	"Folate, total"	"Folic acid, synthetic folic acid"	Fructose	Gamma-tocopherol	Glucose	Iodide	Iron	Lactose	Magnesium	Maltose	Manganese	Niacin equivalents from tryptophan	"Niacin equivalents, total"	"Niacin, preformed"	"Nitrogen, total"	Phosphorus	Potassium	"Protein, total; calculated from total nitrogen"	Retinol	Riboflavin	Selenium	Sodium	"Starch, total"	Sucrose	"Sugars, total"	Thiamin	Total carbohydrate by difference	Total carbohydrates by summation	Tryptophan	"Vitamin A, retinol equivalents"	Vitamin B12	Vitamin B6	Vitamin C	Vitamin D; calculated by summation	"Vitamin E, alpha-tocopherol equivalents"	Water	Zinc	
FoodID	Chapter	Food Name	g/100g	?g/100g	mg/100g	g/100g	g/100g	g/100g	g/100g	g/100g	?g/100g	?g/100g	mg/100g	mg/100g	mg/100g	g/100g	mg/100g	mg/100g	mg/100g	?g/100g	g/100g	%	kcal/100g	kcal/100g	kJ/100g	kJ/100g	kcal/100g	kJ/100g	kcal/100g	kJ/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	?g/100g	?g/100g	?g/100g	g/100g	mg/100g	g/100g	?g/100g	mg/100g	g/100g	mg/100g	g/100g	?g/100g	mg/100g	mg/100g	mg/100g	g/100g	mg/100g	mg/100g	g/100g	?g/100g	mg/100g	?g/100g	mg/100g	g/100g	g/100g	g/100g	mg/100g	g/100g	g/100g	mg/100g	?g/100g	?g/100g	mg/100g	mg/100g	?g/100g	mg/100g	g/100g	mg/100g	
M353	M	"Chicken, breast, lean, fat & skin, raw"	0	0	0.57	0.97	0	0	0	0	0	0		0	9.3	0	73	0.04		9.6	30.7	77.4	171.05	171.05	714.21	714.21	170.86	714.21	170.86	714.21	10.2	0.077		0	0		1.031	0	5.109	1.166	0.077	1.089	3.229		0	0	0	9.6	9.6	0	0		0	0.71	0.68	0	23.8	0	12	6.41	11.21	4.8	3.17	217	247	19.81	26	0.1	11.6	58.8	0	0	0	0.08	0	0	377.23	26	0.23	0.47	1	0.1	0.57	69.3	0.86	
M354	M	"Chicken, thigh, lean 63%, separable fat 15% & skin 22%, raw"	0	0	0.78	0.81	0.69	0	0	0	0	0		0	8.6	0.69	94	0.06		14	36.5	75	237.5	237.5	985	985	235.65	985	238.45	996.73	19.5	0.147			0		1.953	0	9.822	2.174	0.147	2.027	6.1		0	0	0	14	14	0	0		0	1.14	1.11	0	18.4	0	18	4.85	8.95	4.1	2.48	173	283	15.5	52	0.13	12.4	76.3	0	0	0	0.07	0.69	0	285.2	52	0.6	0.28	1.9	0.2	0.78	63.5	1.42	
M355	M	"Chicken, wing, flesh, raw"	0	0	0.51	0.93	0	0	0	0	0	0		0	9	0	77	0.04		9.1	25	41.7	115.88	115.88	488.34	488.34	116.83	488.34	116.83	488.34	3.32	0.016		0.003	0.006		0.355	0.009	1.619	0.424	0.025	0.398	1.067		0	0	0	9.1	9.1	0	0		0	1.14	0.77	0	23.1	0	13	7.13	12.03	4.9	3.44	195	290	21.5	10	0.1	13.4	88.9	0	0	0	0.09	0	0	419.68	10	0.2	0.51	1.2	0.1	0.51	75	1.2	
M356	M	"Chicken, wing, separable lean 62%, separable fat 4% & skin 34%, raw"	0	0	0.65	0.76	0.81	0	0	0	0	0		0	9	0.81	91	0.04		11.5	36.3	67	226.9	226.9	942.33	942.33	225.44	942.33	228.75	956.18	17.6	0.133		0	0		1.73	0	8.998	1.946	0.133	1.813	5.505		0	0	0	11.5	11.5	0	0		0	1.14	0.88	0	17.6	0	14	5.22	9.62	4.4	2.74	157	241	17.13	41	0.09	12.1	75.6	0	0	0	0.07	0.81	0	306.88	41	0.27	0.43	0.7	0.1	0.65	63.7	1.06	
M357	M	"Chicken, drumstick, separable lean 97% & fat 3%, raw"	0	0	0.76	0.96	0	0	0	0	0	0		0	7.3	0	101	0.06		15.5	25.3	59.1	130.05	130.05	544.96	544.96	130.37	544.96	130.37	544.96	6.2	0.035			0.006		0.674	0.006	3.14	0.762	0.041	0.721	1.928		0	0	0	15.5	15.5	0	0		0	1.14	1.04	0	22.1	0	16	6.16	9.96	3.8	2.97	200	326	18.56	29	0.14	13.8	103	0	0	0	0.09	0	0	362.34	29	0.75	0.27	2.9	0.1	0.76	74.7	1.96	
M358	M	"Chicken, composite cuts, separable lean 94% & fat 6%, roasted"	0	0	0.8	0.95	0	0	0	0	0	0		0	12.2	0	109	0.06		16.2	33	60.4	177.44	177.44	742.67	742.67	177.67	742.67	177.67	742.67	9.16	0.061					0.892		4.68	0.995	0.061	0.935	2.943		0	0	0	16.2	16.2	0	0		0	0.8	1.02	0	22	0	15	4.91	11.61	6.7	3.8	207	180	23.75	23	0.15	14.5	77.6	0	0	0	0.06	0	0	288.8	23	0.68	0.29	0	0.3	0.8	67	1.7	
M359	M	"Chicken, breast, separable lean 94% & fat 6%, raw"	0	0	0.52	1.05	0	0	0	0	0	0		0	9.4	0	66	0.03		9.1	27	66.7	134.55	134.55	565.03	565.03	135.17	565.03	135.17	565.03	5.45	0.036		0.005	0.005		0.592	0.01	2.67	0.685	0.046	0.639	1.767		0	0	0	9.1	9.1	0	0		0	0.71	0.62	0	26.3	0	12	7.09	12.09	5	3.42	237	261	21.38	16	0.1	11.8	59.4	0	0	0	0.09	0	0	417.24	16	0.2	0.5	1.1	0.2	0.52	73	0.85	
M360	M	"Chicken, composite cuts, lean, fat & skin, raw, Size 11"	0	0	0.75	0.83	0.38	0	0	0	0	0		0	9.1	0.38	86	0.05		9.6	35.4	72	221.17	221.17	918.87	918.87	219.83	918.87	221.36	925.29	16.88	0.096					1.691		8.582	1.866	0.096	1.771	5.519		0	0	0	9.6	9.6	0	0		0	2.14	1.02	0	20.7	0	15	5.46	9.56	4.1	2.77	184	275	17.31	40	0.09	12.5	73.5	0	0	0	0.06	0.38	0	321.32	40	0.39	0.38	1.5	0.1	0.75	64.6	1.26	
M361	M	"Chicken, wing, separable lean 95% & fat 5%, raw"	0	0	0.52	0.9	0	0	0	0	0	0		0	9.1	0	78	0.04		9.1	27.1	44	137.45	137.45	576.6	576.6	137.94	576.6	137.94	576.6	6.05	0.011		0	0		0.629	0	3.04	0.732	0.011	0.72	1.944		0	0	0	9.1	9.1	0	0		0	1.14	0.82	0	22.3	0	14	6.89	11.89	5	3.32	189	281	20.75	15	0.1	13.2	86.3	0	0	0	0.09	0	0	405.04	15	0.2	0.5	1.1	0.1	0.52	72.9	1.18	
M362	M	"Chicken, drumstick, separable lean 83%, separable fat 3% & skin 14%, raw"	0	0	0.78	0.89	0.12	0	0	0	0	0		0	7.6	0.12	103	0.06		15	29.3	68.7	167.69	167.69	699.05	699.05	167.24	699.05	167.74	701.17	10.91	0.072			0.01		1.113	0.01	5.526	1.258	0.082	1.175	3.371		0	0	0	15	15	0	0		0	1.14	1.04	0	20.2	0	16	5.58	9.28	3.7	2.78	186	303	17.38	37	0.13	13.3	96.2	0	0	0	0.08	0.12	0	328.04	37	0.71	0.27	2.5	0.2	0.78	70.7	1.8	
M363	M	"Turkey, thigh, flesh, roasted"	0	0	0.7	1.22	0	0	0	0	0	0		0	9.1	0	132	0.13		12.3	35	62	171.08	171.08	718.5	718.5	171.89	718.5	171.89	718.5	6.87	0.078	0.013	0.019	0.019		0.902	0.052	2.805	1.143	0.13	1.013	2.584		0	0	0	12.3	12.3	0	0		0	1.5	1.6	0	18.1	0	28	7.21	13.91	6.7	4.37	188	245	27.31	20	0.28	20.7	236	0	0	0	0.04	0	0	423.89	20	3.92	0.28	0	0.3	0.7	65	3.3	
M364	M	"Turkey, thigh, separable lean 92% & fat 8%, roasted"	0	0	0.67	1.18	0.06	0	0	0	0	0		0	8.9	0.06	131	0.12		11.6	37.1	68	193.7	193.7	810.66	810.66	193.94	810.66	194.17	811.64	10.05	0.123	0.009	0	0		1.254	0.009	4.26	1.491	0.133	1.358	3.58		0	0	0	11.6	11.6	0	0		0	0.8	1.54	0	17.3	0	27	6.81	13.61	6.8	4.13	179	237	25.81	22	0.27	19.9	229	0	0	0	0.04	0.06	0	400.61	22	3.66	0.28	0	0.3	0.67	62.9	3.11	
M365	M	"Turkey, wing, flesh, roasted"	0	0	0.2	1.25	0	0	0	0	0	0		0	15.1	0	91	0.06		7.8	34.8	41	164.51	164.51	692.12	692.12	165.58	692.12	165.58	692.12	5.64	0.053		0.016	0.027		0.73	0.043	2.233	0.933	0.096	0.837	2.111		0	0	0	7.8	7.8	0	0		0	0.8	0.89	0	23.6	0	15	7.5	13.9	6.4	4.55	230	262	28.44	10	0.06	14.2	207	0	0	0	0.03	0	0	441.35	10	2.25	0.3	0	0.1	0.2	65.2	1.76	
M366	M	"Turkey, wing, separable lean 99% & fat 1%, roasted"	0	0	0.2	1.25	0	0	0	0	0	0		0	15	0	91	0.05		7.8	35.1	41	167.63	167.63	704.84	704.84	168.62	704.84	168.62	704.84	6.07	0.057		0.023	0.023		0.78	0.046	2.44	0.981	0.103	0.878	2.243		0	0	0	7.8	7.8	0	0		0	0.8	0.89	0	23.4	0	15	7.45	13.85	6.4	4.52	228	261	28.25	10	0.06	14.2	206	0	0	0	0.03	0	0	438.44	10	2.24	0.3	0	0.1	0.2	64.9	1.75	
M367	M	"Turkey, drumstick, flesh, roasted"	0	0	0.7	1.27	0	0	0	0	0	0		0	9.1	0	137	0.13		12.3	38	54	173	173	729.63	729.63	174.55	729.63	174.55	729.63	4.5	0.051	0.009	0.013	0.013		0.591	0.034	1.837	0.748	0.085	0.663	1.692		0	0	0	12.3	12.3	0	0		0	0.8	1.6	0	18.1	0	28	8.74	15.44	6.7	5.3	188	245	33.13	20	0.28	20.7	236	0	0	0	0.04	0	0	514.1	20	3.92	0.28	0	0.5	0.7	62	3.3	
M368	M	"Turkey, breast, flesh, roasted"	0	0	0.2	1.31	0	0	0	0	0	0		0	15.1	0	103	0.06		7.8	34.4	78	150.83	150.83	637.13	637.13	152.42	637.13	152.42	637.13	3.12	0.029		0.009	0.015		0.404	0.024	1.235	0.516	0.053	0.463	1.168		0	0	0	7.8	7.8	0	0		0	0.5	0.89	0	23.6	0	15	8.1	14.5	6.4	4.91	230	262	30.69	10	0.06	14.2	207	0	0	0	0.03	0	0	476.27	10	2.25	0.3	0	0.4	0.2	65.6	1.76	
M369	M	"Turkey, thigh, separable lean 84%, separable fat 7% & skin 9%, roasted in oven bag"	0	0	0.7	1.18	0.29	0	0	0	0	0		0	9.9	0.29	130	0.11		11.3	38.3	74	205.22	205.22	857.71	857.71	205.19	857.71	206.37	862.64	11.58	0.142	0.011	0.022	0.022		1.412	0.055	4.92	1.729	0.197	1.532	4.115		0	0	0	11.3	11.3	0	0		0	0.8	1.52	0	17.3	0	27	6.8	14	7.2	4.04	179	233	25.25	31	0.26	19.5	233	0	0	0	0.03	0.29	0	399.96	31	3.47	0.28	0	0.3	0.7	61.7	2.97	
M370	M	"Turkey, breast, separable lean 99% & fat 1%, roasted"	0	0	0.2	1.31	0	0	0	0	0	0		0	15	0	103	0.05		7.8	34.6	78	153.43	153.43	647.68	647.68	154.95	647.68	154.95	647.68	3.52	0.033		0.01	0.013		0.452	0.023	1.43	0.569	0.057	0.512	1.304		0	0	0	7.8	7.8	0	0		0	0.5	0.89	0	23.5	0	15	8.03	14.43	6.4	4.87	229	261	30.44	10	0.06	14.2	206	0	0	0	0.03	0	0	472.39	10	2.24	0.3	0	0.4	0.2	65.4	1.75	
M371	M	"Turkey, wing, separable lean 72%, separable fat 1% & skin 27%, roasted"	0	0	0.4	1.22	0.33	0	0	0	0	0		0	16.5	0.33	100	0.06		8	39.2	57	209.81	209.81	876.89	876.89	209.78	876.89	211.11	882.46	11.84	0.145		0.011	0.011		1.41	0.022	5.01	1.667	0.168	1.499	4.241		0	0	0	8	8	0	0		0	0.8	1.03	0	21.9	0	18	7.23	14.93	7.7	4.13	215	243	25.81	42	0.08	14.5	225	0	0	0	0.03	0.33	0	425.39	42	2.05	0.28	0	0.1	0.4	60.8	1.69	
M372	M	"Turkey, drumstick, separable lean 99% & fat 1%, roasted"	0	0	0.69	1.27	0	0	0	0	0	0		0	9.1	0	137	0.12		12.2	38.3	55	175.87	175.87	741.29	741.29	177.34	741.29	177.34	741.29	4.93	0.056	0.009	0.014	0.014		0.648	0.037	2.01	0.82	0.093	0.727	1.854		0	0	0	12.2	12.2	0	0		0	0.8	1.59	0	18	0	28	8.67	15.37	6.7	5.26	187	244	32.88	20	0.28	20.6	236	0	0	0	0.04	0	0	510.22	20	3.89	0.28	0	0.5	0.69	61.7	3.27	
M373	M	"Turkey, composite cuts, 97% & fat 3%, roasted in oven bag"	0	0	0.34	1.26	0	0	0	0	0	0		0	13.6	0	111	0.08		8.8	35.9	68	169.05	169.05	711.65	711.65	170.25	711.65	170.25	711.65	5.45	0.067		0.01	0.01		0.7	0.021	2.3	0.839	0.088	0.752	2.014		0	0	0	8.8	8.8	0	0		0	1.5	1.39	0	22.9	0	20	7.92	13.92	6	4.8	229	235	30	21	0.15	17.8	227	0	0	0	0.03	0	0	465.6	21	3.25	0.2	0	0.4	0.34	64.1	2.61	
M374	M	"Turkey ,breast, separable lean 90%, separable fat 1% & skin 9%, roasted"	0	0	0.27	1.3	0	0	0	0	0	0		0	15.5	0	105	0.06		7.8	36.1	86	169.32	169.32	712.45	712.45	170.44	712.45	170.44	712.45	5.73	0.065		0.011	0.011		0.699	0.022	2.42	0.839	0.087	0.753	2.079		0	0	0	7.8	7.8	0	0		0	0.5	0.94	0	22.9	0	16	7.85	14.75	6.9	4.71	224	255	29.44	21	0.06	14.3	213	0	0	0	0.03	0	0	461.58	21	2.17	0.29	0	0.4	0.27	63.9	1.73	
M375	M	"Turkey, drumstick, separable lean 92%, separable fat 1% & skin 7%, roasted in oven bag"	0	0	0.71	1.26	0	0	0	0	0	0		0	10	0	136	0.12		12	39.2	59	186.45	186.45	784.23	784.23	187.61	784.23	187.61	784.23	6.55	0.074		0.012	0.012		0.829	0.025	2.84	1.009	0.099	0.904	2.352		0	0	0	12	12	0	0		0	0.8	1.58	0	17.9	0	28	8.5	15.5	7	5.1	186	260	31.88	28	0.27	20.2	238	0	0	0	0.04	0	0	499.8	28	3.72	0.28	0	0.5	0.71	60.8	3.15	
M376	M	"Turkey, separable fat, roasted"	0	0	0.4	0.75	4.98	0	0	0	0	0		0	6.4	4.98	114	0.03		3.7	61.6	100	458.5	458.5	1889.88	1889.88	452.12	1889.88	472.36	1974.45	47	0.622		0.044	0.044		5.774	0.089	21.675	6.707	0.711	5.996	15.989		0	0	0	3.7	3.7	0	0		0	0.8	0.89	0	7.2	0	13	2.34	9.84	7.5	1.42	83	142	8.88	40	0.15	10.8	142	0	0	0	0.02	4.98	0	137.74	40	0.66	0.29	0	3.3	0.4	38.4	0.92	
M377	M	"Turkey, drumstick, separable lean 94%, separable fat <1% & skin 6%, raw"	0	0	0.41	1.18	0	0	0	0	0	0		0	10.2	0	88	0.1		12.2	24.1	69	114.45	114.45	481.66	481.66	115.23	481.66	115.23	481.66	3.8	0.032		0.004	0.007		0.435	0.011	1.67	0.517	0.043	0.474	1.336		0	0	0	12.2	12.2	0	0		0	1.14	1.09	0	19	0	22	4.58	6.58	2	3.21	195	125	20.06	59	0.14	13.2	265	0	0	0	0.05	0	0	269.64	59	3.65	0.23	0	0.5	0.41	75.9	2.28	
M378	M	"Turkey, skin, roasted"	0	0	0.96	1.15	2.59	0	0	0	0	0		0	20.7	2.59	125	0.07		8.6	50.4	100	323.98	323.98	1342.58	1342.58	321.19	1342.58	331.73	1386.65	27.47	0.363					3.245		12.408	3.686	0.363	3.323	10.02		0	0	0	8.6	8.6	0	0		0	1.14	1.42	0	17.5	0	26	6.58	17.78	11.2	3.07	180	194	19.19	130	0.15	15.3	276	0	0	0	0.02	2.59	0	386.82	130	1.51	0.21	0	0.8	0.96	49.6	1.53	
M379	M	"Turkey, thigh, separable lean 78%, separable fat 14% & skin 8%, raw"	0	0	0.36	1.15	0.22	0	0	0	0	0		0	10.7	0.21	92	0.1		11.1	28.7	74	164.14	164.14	683.9	683.9	163.61	683.9	164.49	687.55	10.96	0.104		0	0.01		1.129	0.01	4.99	1.305	0.114	1.191	3.801		0	0	0	11.1	11.1	0	0		0	1.14	1.2	0	17	0	21	3.74	5.74	2	2.62	179	125	16.38	56	0.12	12.7	249	0	0	0	0.05	0.22	0	220.08	56	3.06	0.22	0	0.3	0.36	71.3	2.03	
M380	M	"Turkey, thigh, separable lean 85% & fat 15%, raw"	0	0	0.36	1.17	0.27	0	0	0	0	0		0	10.9	0.27	89	0.09		11.1	27.7	68	153.26	153.26	639.31	639.31	152.94	639.31	154.02	643.81	9.64	0.082		0	0.009		1.066	0.009	4.45	1.212	0.091	1.121	3.434		0	0	0	11.1	11.1	0	0		0	1.14	1.17	0	17.7	0	22	3.84	5.94	2.1	2.66	185	126	16.63	57	0.13	13	251	0	0	0	0.04	0.27	0	226.1	57	3.28	0.22	0	0.3	0.36	72.3	2.13	
M381	M	"Turkey, drumstick, separable lean 99% & fat 1%, raw"	0	0	0.41	1.18	0	0	0	0	0	0		0	10.4	0	86	0.1		12.3	23.2	65	104	104	438.88	438.88	104.99	438.88	104.99	438.88	2.5	0.017		0.005	0.007		0.267	0.012	1.073	0.331	0.028	0.302	0.921		0	0	0	12.3	12.3	0	0		0	1.14	1.07	0	19.4	0	23	4.71	6.71	2	3.26	200	125	20.38	60	0.14	13.6	267	0	0	0	0.05	0	0	277.1	60	3.83	0.22	0	0.5	0.41	76.8	2.37	
M382	M	"Turkey, drumstick, flesh, raw"	0	0	0.41	1.19	0	0	0	0	0	0		0	10.4	0	86	0.1		12.3	23	65	102.2	102.2	431.48	431.48	103.22	431.48	103.22	431.48	2.3			0.007	0.007		0.283	0.013	0.967	0.343	0.013	0.315	0.859		0	0	0	12.3	12.3	0	0		0	1.14	1.06	0	19.5	0	23	4.71	6.71	2	3.26	200	125	20.38	60	0.14	13.6	268	0	0	0	0.05	0	0	277.1	60	3.85	0.22	0	0.5	0.41	77	2.38	
M383	M	"Turkey, thigh, flesh, raw"	0	0	0.41	1.27	0	0	0	0	0	0		0	10.4	0	86	0.1		12.3	22.1	58	100.92	100.92	425	425	101.67	425	101.67	425	3.13	0.021		0.009	0.009		0.385	0.018	1.334	0.467	0.038	0.429	1.168		0	0	0	12.3	12.3	0	0		0	1.14	1.06	0	19.5	0	23	4.2	6.2	2	2.91	200	125	18.19	60	0.14	13.6	268	0	0	0	0.05	0	0	247.35	60	3.85	0.22	0	0.1	0.41	77.9	2.38	
M384	M	"Turkey, wing, separable lean 98% & fat 2%, raw"	0	0	0.59	1.2	0.01	0	0	0	0	0		0	8.9	0.01	65	0.04		11.1	24.5	45	108.94	108.94	459.05	459.05	109.82	459.05	109.88	459.3	3.16	0.024			0.003		0.334	0.003	1.296	0.394	0.027	0.364	1.239		0	0	0	11.1	11.1	0	0		0	1.14	0.55	0	24.9	0	11	4.65	9.75	5.1	3.22	232	184	20.13	11	0.08	10.2	278	0	0	0	0.07	0.01	0	273.7	11	1.85	0.38	0	0.1	0.59	75.5	1.1	
M385	M	"Turkey, skin, raw"	0	0	0.34	0.94	0	0	0	0	0	0		0	7.9	0	119	0.11		11.3	39.2	100	279.89	279.89	1158.65	1158.65	277.19	1158.65	277.19	1158.65	24.71	0.304					2.779		11.629	3.199	0.304	2.896	8.546		0	0	0	11.3	11.3	0	0		0	1.14	1.66	0	10.5	0	11	2.66	3.96	1.3	2.3	124	116	14.38	50	0.03	8.5	230	0	0	0	0.02	0	0	156.4	50	0.65	0.21	0	0.8	0.34	60.8	0.92	
M386	M	"Turkey, wing, separable lean 68%, separable fat 2% & skin 30%, raw"	0	0	0.51	1.13	0	0	0	0	0	0		0	8.6	0	81	0.06		11.2	28.9	65	160.35	160.35	669.43	669.43	160.15	669.43	160.15	669.43	9.65	0.027		0	0		1.067	0	4.42	1.149	0.027	1.122	3.438		0	0	0	11.2	11.2	0	0		0	1.14	0.89	0	20.6	0	11	4.05	7.95	3.9	2.94	200	163	18.38	23	0.06	9.7	263	0	0	0	0.06	0	0	238.14	23	1.49	0.33	0	0.1	0.51	71.1	1.04	
M387	M	"Turkey, wing, flesh, raw"	0	0	0.6	1.22	0	0	0	0	0	0		0	8.8	0	64	0.04		11.3	23.7	44	101.21	101.21	427.41	427.41	102.25	427.41	102.25	427.41	2.19	0.012		0.002	0.004		0.242	0.006	0.815	0.29	0.019	0.271	0.913		0	0	0	11.3	11.3	0	0		0	1.14	0.52	0	25.3	0	11	4.71	9.81	5.1	3.26	235	185	20.38	10	0.08	10.2	280	0	0	0	0.07	0	0	277.1	10	1.89	0.38	0	0	0.6	76.3	1.1	
M388	M	"Turkey, breast, separable lean 90%, separable fat 2% & skin 7%, raw"	0	0	0.57	1.35	0	0	0	0	0	0		0	8.8	0	69	0.05		11.1	25.8	87	120.76	120.76	508.37	508.37	121.62	508.37	121.62	508.37	3.89	0.037		0	0.004		0.419	0.004	1.76	0.485	0.04	0.445	1.412		0	0	0	11.1	11.1	0	0		0	0.71	0.63	0	23.8	0	11	4.9	9.7	4.8	3.43	224	179	21.44	14	0.08	10.1	274	0	0	0	0.06	0	0	288.12	14	1.76	0.36	0	0.2	0.57	74.2	1.08	
M389	M	"Turkey, breast, flesh, raw"	0	0	0.6	1.4	0	0	0	0	0	0		0	8.8	0	64	0.04		11.3	23.8	78	99.04	99.04	419.6	419.6	100.38	419.6	100.38	419.6	1.06								0.395	0.14			0.442		0	0	0	11.3	11.3	0	0		0	0.71	0.52	0	25.3	0	11	5.17	10.27	5.1	3.58	235	185	22.38	10	0.08	10.2	280	0	0	0	0.07	0	0	304.3	10	1.89	0.38	0	0.2	0.6	76.2	1.1	
M390	M	"Turkey, separable fat, raw"	0	0	0.05	0.63	4.77	0	0	0	0	0		0	13.6	4.77	109	0.08		4.2	59.7	100	450.91	450.91	1857.94	1857.94	444.48	1857.94	463.87	1938.99	46.74	0.442					4.594		22.394	5.212	0.442	4.77	16.519		0	0	0	4.2	4.2	0	0		0	0.71	1.8	0	7.1	0	15	1.75	4.55	2.8	1.21	95.4	133	7.56	40	0.1	9.9	158	0	0	0	0.03	4.77	0	102.85	40	0.08	0.23	0	3.3	0.05	40.3	0.76	
M391	M	"Turkey, breast, separable lean 97% & fat 3%, raw"	0	0	0.58	1.38	0	0	0	0	0	0		0	8.9	0	65	0.04		11.1	24.7	80	108.07	108.07	456.51	456.51	109.21	456.51	109.21	456.51	2.23	0.017		0	0.002		0.232	0.002	0.976	0.27	0.019	0.251	0.847		0	0	0	11.1	11.1	0	0		0	0.71	0.56	0	24.9	0	11	5.09	10.09	5	3.52	232	184	22	11	0.08	10.2	277	0	0	0	0.07	0	0	299.2	11	1.84	0.38	0	0.2	0.58	75.3	1.09	
M392	M	"Chicken, composite cuts, lean, fat & skin, raw, Size 7"	0	0	0.75	0.86	0	0	0	0	0	0		0	9.1	0	75	0.05		9.6	32.5	73	198.94	198.94	827.48	827.48	197.96	827.48	197.96	827.48	14.41	0.082					1.416		7.667	1.566	0.082	1.484	4.371		0	0	0	9.6	9.6	0	0		0	0.71	1.02	0	20.7	0	15	5.46	9.56	4.1	2.77	184	275	17.31	40	0.09	12.5	73.5	0	0	0	0.06	0	0	321.32	40	0.39	0.38	1.5	0.1	0.75	67.5	1.26	
M393	M	"Chicken, composite cuts, separable lean 90% & fat 10%, raw"	0	0	0.73	0.97	0	0	0	0	0	0		0	9.1	0	90	0.06		8.9	28	59.6	149.81	149.81	626.58	626.58	149.9	626.58	149.9	626.58	8.09	0.061		0.008	0.008		0.841	0.015	4.052	0.963	0.076	0.887	2.615		0	0	0	8.9	8.9	0	0		0	0.71	1.02	0	23.5	0	15	6.39	10.69	4.3	3.08	205	301	19.25	28	0.1	13.1	77.9	0	0	0	0.07	0	0	375.76	28	0.39	0.41	1.8	0.1	0.73	72	1.36	
M394	M	"Chicken, composite cuts, lean, fat & skin, raw, Size 8"	0	0	0.75	0.84	0	0	0	0	0	0		0	9.1	0	79	0.05		9.6	32.8	71	206.21	206.21	857.41	857.41	205.12	857.41	205.12	857.41	15.19	0.1					1.694		7.665	1.823	0.1	1.723	4.823		0	0	0	9.6	9.6	0	0		0	0.71	1.02	0	20.7	0	15	5.48	9.58	4.1	2.78	184	275	17.38	40	0.09	12.5	73.5	0	0	0	0.06	0	0	322.48	40	0.39	0.38	1.5	0.1	0.75	67.2	1.26	
M395	M	"Turkey, composite cuts, separable lean 94% & fat 6%, raw"	0	0	0.35	1.27	0	0	0	0	0	0		0	9.2	0	80	0.07		6.5	25.6	69	122.03	122.03	512.79	512.79	122.68	512.79	122.68	512.79	4.67	0.044		0.004	0.009		0.499	0.013	2.13	0.6	0.057	0.543	1.681		0	0	0	6.5	6.5	0	0		0	0.71	0.93	0	22.4	0	16	4.62	7.92	3.3	3.2	220	133	20	31	0.12	14.1	244	0	0	0	0.04	0	0	272	31	1.77	0.4	0	0.1	0.35	74.4	1.8	
M404	M	"Pork, schnitzel, separable lean 96%, intermuscular fat 3% & soft fat 1%, fried"	0	0		1.31	0	0	0	0	0	0		0	7.46	0.06	99.44	0.09		1.31	36.41	100	171.97	171.97	724.15	724.15	173.24	724.15	173.51	725.25	5.38								2.139	0.393			2.284		0	0	0	1.31	1.31	0	0		0	0.93	1.97	0	35.3	0	25.91	6.39	10.89	4.51	4.94	343.08	563.33	30.9	0	0.07	6.65	70.81	0	0	0	0.79	0	0	375.72	0	0.51	0.16	0.77	0.63	0.2	63.59	3.29	
M409	M	"Pork, schnitzel, lean, fried"	0	0		1.33	0	0	0	0	0	0		0	7	0	100	0.09		1.3	35.4	100	160.65	160.65	677.95	677.95	162.19	677.95	162.19	677.95	3.85								1.452	0.273			1.654		0	0	0	1.3	1.3	0	0		0	0.93	1.98	0	36	0	26	6.51	11.11	4.6	5.04	349	572	31.5	0	0.07	6.6	71	0	0	0	0.81	0	0	383.04	0	0.51	0.16	0.8	0.6	0.2	64.6	3.36	
